D,M,explicit_interval_count,total_measure,interval_width,wildcard_description,unrolled_pattern_length,hidden_branch_digits_needed,conclusion
1,0,1,10^-1,10^-1,any 0 decimal digits followed by 1 zeros,1,0,compact as symbolic set; not predictive for pi without branch n
1,1,10,10^-1,10^-2,any 1 decimal digits followed by 1 zeros,2,1,compact as symbolic set; not predictive for pi without branch n
1,2,100,10^-1,10^-3,any 2 decimal digits followed by 1 zeros,3,2,compact as symbolic set; not predictive for pi without branch n
1,3,1000,10^-1,10^-4,any 3 decimal digits followed by 1 zeros,4,3,compact as symbolic set; not predictive for pi without branch n
1,6,1000000,10^-1,10^-7,any 6 decimal digits followed by 1 zeros,7,6,compact as symbolic set; not predictive for pi without branch n
1,10,10^10,10^-1,10^-11,any 10 decimal digits followed by 1 zeros,11,10,compact as symbolic set; not predictive for pi without branch n
1,50,10^50,10^-1,10^-51,any 50 decimal digits followed by 1 zeros,51,50,compact as symbolic set; not predictive for pi without branch n
1,1000,10^1000,10^-1,10^-1001,any 1000 decimal digits followed by 1 zeros,1001,1000,compact as symbolic set; not predictive for pi without branch n
2,0,1,10^-2,10^-2,any 0 decimal digits followed by 2 zeros,2,0,compact as symbolic set; not predictive for pi without branch n
2,1,10,10^-2,10^-3,any 1 decimal digits followed by 2 zeros,3,1,compact as symbolic set; not predictive for pi without branch n
2,2,100,10^-2,10^-4,any 2 decimal digits followed by 2 zeros,4,2,compact as symbolic set; not predictive for pi without branch n
2,3,1000,10^-2,10^-5,any 3 decimal digits followed by 2 zeros,5,3,compact as symbolic set; not predictive for pi without branch n
2,6,1000000,10^-2,10^-8,any 6 decimal digits followed by 2 zeros,8,6,compact as symbolic set; not predictive for pi without branch n
2,10,10^10,10^-2,10^-12,any 10 decimal digits followed by 2 zeros,12,10,compact as symbolic set; not predictive for pi without branch n
2,50,10^50,10^-2,10^-52,any 50 decimal digits followed by 2 zeros,52,50,compact as symbolic set; not predictive for pi without branch n
2,1000,10^1000,10^-2,10^-1002,any 1000 decimal digits followed by 2 zeros,1002,1000,compact as symbolic set; not predictive for pi without branch n
3,0,1,10^-3,10^-3,any 0 decimal digits followed by 3 zeros,3,0,compact as symbolic set; not predictive for pi without branch n
3,1,10,10^-3,10^-4,any 1 decimal digits followed by 3 zeros,4,1,compact as symbolic set; not predictive for pi without branch n
3,2,100,10^-3,10^-5,any 2 decimal digits followed by 3 zeros,5,2,compact as symbolic set; not predictive for pi without branch n
3,3,1000,10^-3,10^-6,any 3 decimal digits followed by 3 zeros,6,3,compact as symbolic set; not predictive for pi without branch n
3,6,1000000,10^-3,10^-9,any 6 decimal digits followed by 3 zeros,9,6,compact as symbolic set; not predictive for pi without branch n
3,10,10^10,10^-3,10^-13,any 10 decimal digits followed by 3 zeros,13,10,compact as symbolic set; not predictive for pi without branch n
3,50,10^50,10^-3,10^-53,any 50 decimal digits followed by 3 zeros,53,50,compact as symbolic set; not predictive for pi without branch n
3,1000,10^1000,10^-3,10^-1003,any 1000 decimal digits followed by 3 zeros,1003,1000,compact as symbolic set; not predictive for pi without branch n
6,0,1,10^-6,10^-6,any 0 decimal digits followed by 6 zeros,6,0,compact as symbolic set; not predictive for pi without branch n
6,1,10,10^-6,10^-7,any 1 decimal digits followed by 6 zeros,7,1,compact as symbolic set; not predictive for pi without branch n
6,2,100,10^-6,10^-8,any 2 decimal digits followed by 6 zeros,8,2,compact as symbolic set; not predictive for pi without branch n
6,3,1000,10^-6,10^-9,any 3 decimal digits followed by 6 zeros,9,3,compact as symbolic set; not predictive for pi without branch n
6,6,1000000,10^-6,10^-12,any 6 decimal digits followed by 6 zeros,12,6,compact as symbolic set; not predictive for pi without branch n
6,10,10^10,10^-6,10^-16,any 10 decimal digits followed by 6 zeros,16,10,compact as symbolic set; not predictive for pi without branch n
6,50,10^50,10^-6,10^-56,any 50 decimal digits followed by 6 zeros,56,50,compact as symbolic set; not predictive for pi without branch n
6,1000,10^1000,10^-6,10^-1006,any 1000 decimal digits followed by 6 zeros,1006,1000,compact as symbolic set; not predictive for pi without branch n
50,0,1,10^-50,10^-50,any 0 decimal digits followed by 50 zeros,50,0,compact as symbolic set; not predictive for pi without branch n
50,1,10,10^-50,10^-51,any 1 decimal digits followed by 50 zeros,51,1,compact as symbolic set; not predictive for pi without branch n
50,2,100,10^-50,10^-52,any 2 decimal digits followed by 50 zeros,52,2,compact as symbolic set; not predictive for pi without branch n
50,3,1000,10^-50,10^-53,any 3 decimal digits followed by 50 zeros,53,3,compact as symbolic set; not predictive for pi without branch n
50,6,1000000,10^-50,10^-56,any 6 decimal digits followed by 50 zeros,56,6,compact as symbolic set; not predictive for pi without branch n
50,10,10^10,10^-50,10^-60,any 10 decimal digits followed by 50 zeros,60,10,compact as symbolic set; not predictive for pi without branch n
50,50,10^50,10^-50,10^-100,any 50 decimal digits followed by 50 zeros,100,50,compact as symbolic set; not predictive for pi without branch n
50,1000,10^1000,10^-50,10^-1050,any 1000 decimal digits followed by 50 zeros,1050,1000,compact as symbolic set; not predictive for pi without branch n
1000,0,1,10^-1000,10^-1000,any 0 decimal digits followed by 1000 zeros,1000,0,compact as symbolic set; not predictive for pi without branch n
1000,1,10,10^-1000,10^-1001,any 1 decimal digits followed by 1000 zeros,1001,1,compact as symbolic set; not predictive for pi without branch n
1000,2,100,10^-1000,10^-1002,any 2 decimal digits followed by 1000 zeros,1002,2,compact as symbolic set; not predictive for pi without branch n
1000,3,1000,10^-1000,10^-1003,any 3 decimal digits followed by 1000 zeros,1003,3,compact as symbolic set; not predictive for pi without branch n
1000,6,1000000,10^-1000,10^-1006,any 6 decimal digits followed by 1000 zeros,1006,6,compact as symbolic set; not predictive for pi without branch n
1000,10,10^10,10^-1000,10^-1010,any 10 decimal digits followed by 1000 zeros,1010,10,compact as symbolic set; not predictive for pi without branch n
1000,50,10^50,10^-1000,10^-1050,any 50 decimal digits followed by 1000 zeros,1050,50,compact as symbolic set; not predictive for pi without branch n
1000,1000,10^1000,10^-1000,10^-2000,any 1000 decimal digits followed by 1000 zeros,2000,1000,compact as symbolic set; not predictive for pi without branch n
